k,f,grad_norm,alpha
0,0.0,32.048512665192554,1.0
1,-0.5798529366227371,31.56425030954025,1.0
2,-1.0182660742924,30.94840019783647,1.0
3,-1.4940170936843131,30.60125458215985,1.0
4,-2.0214749003693653,29.949697595157087,1.0
5,-2.4243253452510927,29.60601786815535,1.0
6,-2.9459952063095494,28.949959693708916,1.0
7,-3.255242715338154,28.584519598849,1.0
8,-3.679271736885236,28.06093435421082,1.0
9,-4.021947127851504,27.543219463215532,1.0
10,-4.372605405432449,27.143894222784027,1.0
11,-4.660704001208033,27.007492533079727,1.0
12,-4.959700124693678,26.645012844945757,1.0
13,-5.208765545603187,26.53000544215238,1.0
14,-5.550638916506394,26.060273092666193,1.0
15,-5.98741153352617,25.37875561814927,1.0
16,-6.306256639713481,24.818630848840115,1.0
17,-6.633452881990509,24.42698260851771,1.0
18,-7.080388130177362,23.704872093945383,1.0
19,-7.326969123873717,23.43921398914868,1.0
20,-7.540458609628096,23.213695924892754,1.0
21,-7.793148043820066,22.79033224958289,1.0
22,-8.066801271027224,22.411662531206993,1.0
23,-8.406714458705476,21.8560686501081,1.0
24,-8.609552078466695,21.440584182369477,1.0
25,-8.850246392520546,21.18962535860593,1.0
26,-9.014062598449083,20.975158024725015,1.0
27,-9.254689927472771,20.67498844564624,1.0
28,-9.50543798975592,20.357693322507007,1.0
29,-9.663717548140644,20.16597927907877,1.0
30,-9.876574108153987,20.07678050733967,1.0
31,-10.095997801224451,19.68761979822096,1.0
32,-10.290333757085621,19.375232142234427,1.0
33,-10.529168211495428,19.06083797340101,1.0
34,-10.651828366509033,18.8623977805988,1.0
35,-10.824404774744979,18.617900306382765,1.0
36,-10.951041778733222,18.364960920021808,1.0
37,-11.088934354625195,18.20303001519008,1.0
38,-11.315903230903864,17.78301460891097,1.0
39,-11.514680098462827,17.252206227957668,1.0
40,-11.639332023278122,17.10100719687422,1.0
41,-11.780418167999752,16.849820426761667,1.0
42,-11.986208438523576,16.719561498043923,1.0
43,-12.178049710333356,16.411485216185525,1.0
44,-12.324208094017365,16.340894909461426,1.0
45,-12.456257821222698,16.340556255873164,1.0
46,-12.608408363441075,16.209514437211137,1.0
47,-12.731694835969163,16.08676894958847,1.0
48,-12.88428962424132,15.921298414160674,1.0
49,-13.069476465741275,15.740827301793905,1.0
50,-13.166196395535419,15.577974853797032,1.0
51,-13.265754980798036,15.421803962959496,1.0
52,-13.423883028762772,15.037840302180744,1.0
53,-13.546948571843156,14.853916051518587,1.0
54,-13.666036190646155,14.808467654076717,1.0
55,-13.771793213126607,14.635396064688486,1.0
56,-13.839113031676018,14.602172695024986,1.0
57,-13.969180866954106,14.420939370632635,1.0
58,-14.07812552812348,14.195525009751348,1.0
59,-14.20165832258023,14.13195253821989,1.0
60,-14.275931097301498,14.042629891758233,1.0
61,-14.36521978225359,13.902290487237718,1.0
62,-14.488474494526066,13.826140365408783,1.0
63,-14.60198606815905,13.66386642257981,1.0
64,-14.718292486355564,13.455830533009753,1.0
65,-14.775525141664437,13.385577109665666,1.0
66,-14.856505776044369,13.306582103111436,1.0
67,-14.932348761033575,13.073127833621891,1.0
68,-14.99197944795004,12.889934184789762,1.0
69,-15.09578687047941,12.764723236186567,1.0
70,-15.17674838438515,12.770598506292218,1.0
71,-15.280811460152666,12.521666038347778,1.0
72,-15.36435299629852,12.375046894676117,1.0
73,-15.422745111351931,12.352968933105085,1.0
74,-15.502648051603499,12.286230786571437,1.0
75,-15.59280574177207,12.173886080504264,1.0
76,-15.685183623276231,12.081370240049985,1.0
77,-15.764466568038516,12.033500581736577,1.0
78,-15.844699164383275,11.88488299109662,1.0
79,-15.902041098129303,11.82469656737515,1.0
80,-15.984426115856678,11.660730731189435,1.0
81,-16.072210715916484,11.57324165796749,1.0
82,-16.15130822777187,11.466532547561526,1.0
83,-16.20044957210132,11.356888067002608,1.0
84,-16.277952440341416,11.157538226916994,1.0
85,-16.342681799805774,11.112492927150356,1.0
86,-16.401342454472143,11.07498829388246,1.0
87,-16.470852993134365,11.029554353270598,1.0
88,-16.563513567008194,10.842891562991639,1.0
89,-16.62298591156924,10.712874926388382,1.0
90,-16.68221947465311,10.681176437095761,1.0
91,-16.751260986412916,10.477035759726782,1.0
92,-16.7966477698777,10.398623201884348,1.0
93,-16.841193112792446,10.259841835278527,1.0
94,-16.905648379277192,10.183938547923798,1.0
95,-16.961217306612568,10.079047162779046,1.0
96,-17.001182794002034,10.035972807299162,1.0
97,-17.035012229607872,9.963542694382447,1.0
98,-17.07443530552707,9.967523026233737,1.0
99,-17.122323741078915,9.913693461064348,1.0
100,-17.164895236887766,9.843968816350475,1.0
101,-17.227220691395438,9.7619547595128,1.0
102,-17.27537521919072,9.708574024365946,1.0
103,-17.32852688988048,9.528215517440396,1.0
104,-17.375103729277015,9.4558927226672,1.0
105,-17.443081713192903,9.350373370594346,1.0
106,-17.470609258269413,9.278724070185678,1.0
107,-17.537164855111882,9.28467008361763,1.0
108,-17.592997578653943,9.274090038743894,1.0
109,-17.63463357465416,9.231601341850519,1.0
110,-17.670520840718353,9.136981364456807,1.0
111,-17.705302255937724,9.147351990500125,1.0
112,-17.741572129123462,9.080825061592089,1.0
113,-17.772329368475887,9.091187785745689,1.0
114,-17.814612546532576,9.014086677466638,1.0
115,-17.846787823772665,8.977101163639189,1.0
116,-17.877457614808804,8.956524230978541,1.0
117,-17.927164483523832,8.886187101877123,1.0
118,-17.979607608650756,8.930321138158831,1.0
119,-18.013804891217205,8.814477460604321,1.0
120,-18.044906510349126,8.767003120657987,1.0
121,-18.104112328113196,8.634570244658981,1.0
122,-18.14467807912149,8.675758335586785,1.0
123,-18.185122681155555,8.630989089314749,1.0
124,-18.212357047356996,8.619191187671621,1.0
125,-18.264605016897242,8.581821569066348,1.0
126,-18.293906478542425,8.553069324672753,1.0
127,-18.328001365873483,8.509183618376886,1.0
128,-18.366012310548797,8.473340854231417,1.0
129,-18.396687861500048,8.387855759737175,1.0
130,-18.425931065347577,8.404881237921215,1.0
131,-18.46310119281833,8.424667730160726,1.0
132,-18.489894511740772,8.319898207120604,1.0
133,-18.518199591206027,8.319949904543586,1.0
134,-18.549759570690036,8.321338805546842,1.0
135,-18.579811829986774,8.297384108543142,1.0
136,-18.61669285214745,8.234626290364963,1.0
137,-18.64683049848996,8.176798826555789,1.0
138,-18.67240253657338,8.177842728735502,1.0
139,-18.71849313103568,8.084688118132952,1.0
140,-18.76093199975827,8.088838311666322,1.0
141,-18.796887336438708,8.057146118699759,1.0
142,-18.842254694578585,7.990450278307997,1.0
143,-18.866752734610117,7.942247266913328,1.0
144,-18.8951079471123,7.896389468870666,1.0
145,-18.92355530212553,7.876666930503274,1.0
146,-18.96442219484348,7.8124538434096396,1.0
147,-18.980452925031315,7.790605908722224,1.0
