k,f,grad_norm,t_k,rk_residual
0,0.0,3.204851266519255e-05,1.0,0.9835081815043398
1,-3.960535149528108e-06,3.083807033242829e-05,1.0,0.008302461573703844
2,-6.931415335026269e-05,2.8643964760802683e-07,1.0,0.02394860682652813
3,-6.932576343929376e-05,7.941513559254496e-09,1.0,0.019175137920528953
4,-6.932576790813995e-05,1.5196327788247134e-10,1.0,0.034484357261366734
5,-6.93257679126348e-05,5.328264603345202e-12,1.0,0.017456823060555304
6,-6.932576791263691e-05,1.235956721189417e-13,0.015625,0.022105357275161122
7,-6.932576791263693e-05,1.2162683374553166e-13,0.5,0.0013147990983151414
8,-6.932576791263693e-05,6.074102344829163e-14,1.0,0.010517365301133248
9,-6.932576791263693e-05,8.772800946623915e-16,0.015625,0.016566815289833364
10,-6.932576791263693e-05,8.633334973959446e-16,6.103515625e-05,0.0010380628718373067
11,-6.932576791263693e-05,8.63280797420969e-16,6.103515625e-05,5.110543300125981e-05
12,-6.932576791263694e-05,8.63226996456894e-16,7.62939453125e-06,3.504141527359856e-06
13,-6.932576791263695e-05,8.632208496759164e-16,3.814697265625e-06,3.2759846858674983e-07
14,-6.932576791263695e-05,8.632177719506979e-16,4.76837158203125e-07,1.5361102144990796e-07
15,-6.932576791263695e-05,8.632173766999381e-16,4.76837158203125e-07,3.619464111769903e-08
16,-6.932576791263695e-05,8.632168131927578e-16,4.76837158203125e-07,3.689403742702219e-08
17,-6.932576791263695e-05,8.632167546616273e-16,4.76837158203125e-07,4.7356953738581066e-08
18,-6.932576791263695e-05,8.632166683422515e-16,4.76837158203125e-07,3.9379898593160517e-08
19,-6.932576791263695e-05,8.632164007046885e-16,4.76837158203125e-07,4.696902359295553e-08
